WRCC Name,SNAP Name,WRCC ID
Aleknagik,Aleknagik,ak0201
Allakaket,Allakaket,ak0230
Ambler West,Ambler,ak0260
Anaktuvuk Auto,Anaktuvuk Pass,ak0270
Anchorage Wscmo Ap ,Anchorage,ak0280
Anderson Lake,Anderson,ak0302
Angoon,Angoon,ak0310
Aniak Ap,Aniak,ak0332
Arctic Village,Arctic Village,ak0396
Attu N A U,Attu,ak0452
Auke Bay,Auke Bay,ak0464
Baranof,Baranof Warm Springs,ak0522
Beaver Falls,Beaver,ak0657
Bethel Wso Airport,Bethel,ak0754
Bettles Faa Airport,Bettles,ak0761
Big Delta Faa/Amos Ap,Big Delta,ak0770
Biorka,Biorka,ak0804
Cantwell 2 E,Cantwell,ak1243
Cape Lisburne,Cape Lisburne,ak1312
Central 2,Central,ak1466
Chalkyitsik,Chalkyitsik,ak1475
Chena Hot Springs,Chena Hot Springs,ak1574
Chignik,Chignik,ak1716
Chiniak,Chiniak,ak1763
Chitina,Chitina,ak1824
Circle City,Circle,ak1977
Circle Hot Springs,Circle Hot Springs,ak1987
Clear 4 N,Clear,ak2005
Cold Bay Wb Airport,Cold Bay,ak2102
College Observatory,College,ak2107
Cooper Landing 6 W,Cooper Landing,ak2149
Copper Center,Copper Center,ak2156
Cordova Faa Ap,Cordova,ak2177
Craig,Craig,ak2227
Crooked Creek Kuskokwim,Crooked Creek,ak2247
Dillingham Faa Airport,Dillingham,ak2457
Dot Lake,Dot Lake,ak2522
Eagle,Eagle,ak2607
Eagle River 5 Se,Eagle River,ak2656
Eielson Field,Eielson Air Force Base,ak2707
Eklutna Lake,Eklutna,ak2725
Emmonak,Emmonak,ak2825
Fairbanks Wso Airport,Fairbanks,ak2968
Ladd Afb,Fort Wainwright,ak5318
Fort Yukon,Fort Yukon,ak3175
Funter Bay,Funter Bay State Marine Park,ak3198
Gakona 1 N,Gakona,ak3205
Galena Airport,Galena,ak3215
Gambell,Gambell,ak3226
Gilmore Creek,Girdwood,ak3275
Glennallen Kcam,Glennallen,ak3304
Gulkana Faa/Amos,Gulkana,ak3465
Gustavus 2 Sw,Gustavus,ak3475
Haines,Haines,ak3490
Healy 2 Nw,Healy,ak3585
Hollis,Hollis,ak3650
Holy Cross,Holy Cross,ak3655
Homer Wso Airport,Homer,ak3665
Hoonah,Hoonah,ak3695
Hope,Hope,ak3720
Houston,Houston,ak3731
Hughes,Hughes,ak3765
Iliamna Faa Airport,Iliamna,ak3905
Elmendorf Afb,Joint Base Elmendorf-Richardson,ak2820
Juneau Ap,Juneau,ak4100
Kake,Kake,ak4155
Kasilof 3 Nw,Kasilof,ak4425
Kenai Faa Airport,Kenai,ak4546
Kenney Lake,Kenny Lake,ak4560
King Salmon Wso Ap,King Salmon,ak4766
Klawock,Klawock,ak4898
Kobuk,Kobuk,ak4964
Kodiak Wso Airport,Kodiak,ak4988
Kotzebue Wso Airport,Kotzebue,ak5076
Minchumina,Lake Minchumina,ak5366
Livengood,Livengood,ak5534
Manley Hot Springs,Manley Hot Springs,ak5644
Matanuska Aes,Matanuska,ak5733
Mc Carthy,McCarthy,ak5752
Mc Grath Wb Airport,McGrath,ak5769
Mckinley Park,McKinley Park Airport,ak5778
Mekoryuk,Mekoryuk,ak6727
Moose Pass 3 Nw,Moose Pass,ak5894
Moses Point Faa Airport,Moses Point,ak6058
Mountain Village,Mountain Village,ak6078
Nabesna,Nabesna,ak6147
Nenana Municipal Ap,Nenana,ak6309
Nikiski Terminal,Nikiski,ak6403
Ninilchik,Ninilchik,ak6441
Nome Wso Airport,Nome,ak6496
North Pole,North Pole,ak6581
Northway Faa Airport,Northway,ak6586
Nyac,Nyac,ak6760
Palmer Aaes,Palmer,ak6870
Paxson,Paxson,ak7095
Pelican 1 E,Pelican,ak7141
Petersburg,Petersburg,ak7233
Platinum,Platinum,ak7365
Point Lay,Point Lay,ak7442
Port Alexander,Port Alexander,ak7557
Port Alsworth,Port Alsworth,ak7570
Port Heiden,Port Heiden,ak7700
Prudhoe Bay,Prudhoe Bay,ak7780
Rampart,Rampart,ak7891
Russian Mission,Russian Mission,ak8054
St Marys Airport,Saint Mary's,ak8107
Salcha,Salcha,ak8140
Sand Point,Sand Point,ak8183
Seldovia Dock,Seldovia,ak8355
Seward,Seward,ak8371
Shemya Usaf Base,Shemya Station,ak8419
Sitka Faa Japonski Ap,Sitka,ak8494
Skagway 1 Nw,Skagway,ak8525
Skwentna,Skwentna,ak8536
Slana,Slana,ak8547
Sleetmute,Sleetmute,ak8554
Soldotna,Soldotna,ak8612
Summit Faa Airport,Summit,ak8811
Susitna Meadows,Susitna Station,ak8886
Sutton 2 E,Sutton,ak8915
Talkeetna Wscmo Ap,Talkeetna,ak8976
Tanacross,Tanacross,ak8987
Tanana Faa Airport,Tanana,ak9014
Tenakee Springs,Tenakee Springs,ak9121
Tin City,Tin City,ak9249
Tok,Tok,ak9313
Tonsina,Tonsina,ak9385
Two Rivers,Two Rivers,ak9489
Umiat,Umiat,ak9539
Umnak,Umnak,ak9551
Unalakleet Wso Airport,Unalakleet,ak9564
Barrow Wso Airport,UtqiaÄ¡vik,ak0546
Valdez,Valdez,ak9685
Wainwright,Wainwright,ak9729
Wales,Wales,ak9739
Wasilla 2 Ne,Wasilla,ak9765
Whittier,Whittier,ak9829
Willow West,Willow,ak9861
Wiseman,Wiseman,ak9869
Yakutat Wb Airport,Yakutat,ak9941